,Instance,Inst_Type,DptModule,CtyModule,DmdModule,1.NumberCities,2.SD_DistMat,3.XCent,4.YCent,5.Radius_PS,6.FracDistinctDist,7.SD_NNDist,8.CV_NNDist,9.Ratio_ClustCities,10.Ratio_OutlierCities,11.Ratio_EdgerCities,12.NumberClusters,13.MeanClustRadius,14.XDepot,15.YDepot,16.SD_Demand,17.Ratio_DemCap,18.Ratio_MaxclustdemCap,19.Ratio_OutlierdemDem,20.Ratio_MaxcitydemDem,21.AvgRouteLength,22.Area_PS,23.MinNumberTrucks,L1.CWSoln,L2.SPSoln,L3.GASoln,L4.SOMSoln,Label
0,instance100-n180-k12-ERcLvsr,ERcLvsr,E,Rc,Lvsr,179,131.14262792484104,248.5,250.0,193.65416334704227,0.66,10.548122199021806,0.5665207541736521,0.05027932960893855,0.16201117318435754,0.19553072625698326,9,40.253361514282815,0,0,0.012125448755537284,0.9450710108604844,3.2974101921470345,0.15639042357274402,0.0835421888053467,14.916666666666664,248003,12,12950.623627872337,13499.414723203885,16840,13326.058196147818,CW
1,instance0-n75-k10-REQ,REQ,R,E,Q,74,122.33754234545137,247.0,250.0,190.48810724228858,0.03,0.9701506067309552,0.029541291822110623,0.06756756756756757,0.0,0.13513513513513514,5,124.48857142857143,220,249,0.0232374749163853,0.9427320490367777,2.0210157618213658,0.0,0.1733800350262697,7.4,184800,10,6229.895838416341,6239.645225134733,6942,6127.694427156595,SOM
2,instance1000-n165-k24-CCU,CCU,C,C,U,164,122.09679764598313,232.0,264.5,183.5429669462827,0.58,12.648072238188538,0.8731741004634287,0.024390243902439025,0.201219512195122,0.06707317073170732,4,35.56606146033445,250,250,5.551115123125783e-17,0.9761904761904762,14.714285714285715,0.201219512195122,0.14285714285714285,6.833333333333332,218544,24,11837.803947191229,12400.133685360504,14054,12538.14397867323,CW
3,instance10-n180-k18-RCU,RCU,R,C,U,179,140.8207451496904,253.0,249.5,201.8323472947075,0.63,12.724448819664525,0.8185617566133503,0.0223463687150838,0.2122905027932961,0.08379888268156424,4,49.83993850155729,380,54,1.3877787807814454e-17,0.9944444444444444,4.5,0.2122905027932961,0.1,9.944444444444443,243512,18,13285.485900767218,14146.78104813455,16620,14519.066666873052,CW
4,instance1002-n50-k7-CRcMsfl,CRcMsfl,C,Rc,Msfl,49,115.84890798578812,244.0,211.5,175.04954038158462,0.96,20.453732605395178,0.6466512490619782,0.08163265306122447,0.1020408163265306,0.24489795918367346,4,75.38802125389033,250,250,0.1799088011094272,0.9520851818988464,2.819875776397516,0.1565703634669152,0.5900621118012422,7.0,199592,7,4227.649366359328,4884.827872070053,4208,4266.2562071447455,GA
5,instance1001-n95-k9-REMsfl,REMsfl,R,E,Msfl,94,122.48325893009238,247.0,250.0,188.07928979327798,0.02,2.6457960014956647,0.1007099229464411,0.05319148936170213,0.010638297872340424,0.10638297872340426,5,121.00866873065016,438,399,0.14708983580581358,0.898989898989899,2.484848484848485,0.005617977528089888,0.6893939393939394,10.444444444444443,187200,9,6995.4239563576875,8350.458004719185,9208,7725.6141296407495,CW
6,instance1003-n135-k11-RCU,RCU,R,C,U,134,98.5174177702497,225.0,286.5,137.89292812813264,0.64,14.807348726423562,0.8142091204886229,0.037313432835820885,0.2164179104477612,0.14925373134328354,5,37.699718791613776,259,0,1.3877787807814454e-17,0.9370629370629372,5.846153846153847,0.2164179104477612,0.07692307692307693,12.181818181818182,221556,11,9858.00439561927,10749.695490615055,11716,9953.363303501077,CW
7,instance1004-n135-k14-ECMsfl,ECMsfl,E,C,Msfl,134,124.67503935589676,249.0,283.5,179.65668663268798,0.76,14.132516870325846,0.8082697132669484,0.04477611940298507,0.1791044776119403,0.1044776119402985,6,42.832100535651314,0,0,0.14588712312420726,0.9887599709934736,3.4923857868020303,0.18811881188118806,0.5025380710659898,9.571428571428571,245021,14,14307.7959176333,19035.147585105657,17482,15745.775895953027,CW
8,instance1005-n20-k2-RCLvsr,RCLvsr,R,C,Lvsr,19,135.8337990397704,207.5,252.0,179.5483493723665,1.0,50.50122150513285,0.8905556459781421,0.05263157894736842,0.2631578947368421,0.10526315789473684,1,123.47639921613138,477,60,0.012618112071935335,0.8085501858736059,1.2193308550185873,0.2459770114942529,0.10656753407682776,9.5,204736,2,2562.7049581296346,2536.556133751472,2470,2471.142111035454,GA
9,instance1007-n90-k5-RELvsr,RELvsr,R,E,Lvsr,89,121.73574958322571,242.5,250.0,185.92648567879212,0.02,2.3447539399809427,0.08605498870733104,0.05617977528089888,0.011235955056179777,0.11235955056179776,5,119.1375,60,5,0.009563586665653772,0.8393769470404985,0.9121495327102804,0.008165083135391923,0.0616822429906542,17.8,204255,5,5654.2544375631305,6010.19468734693,6152,5343.186751171337,SOM
10,instance1006-n180-k13-ERcQ,ERcQ,E,Rc,Q,179,138.2198486205849,247.5,250.0,197.36934646531986,0.64,12.879040793629557,0.6839750581655201,0.0446927374301676,0.12849162011173185,0.12290502793296088,8,42.74547607181064,0,0,0.015358824277439396,0.965706346885054,6.2138783269961975,0.11274324222003484,0.09505703422053233,13.769230769230768,247500,13,12951.377793989554,14247.356001179822,18449,13514.945787482187,CW
